date_published,channelTitle,channelViewCount,subscriberCount,videoCount,VideoTitle,VideoViewCount,likeCount,dislikeCount,commentCount,description
2020-05-22,Diamond Platnumz,52113963,656000,30,"Quarantine - Wasafi Feat Diamond Platnumz, Rayvanny, Mbosso, Lava Lava, Queen Darleen &amp; Zuchu",13275640,135419,12135,14390,Do You Think Your Quarantine Moves Are Better Than Us? Show Us Your Quarantine Moves! Audio Produced By S2Kizzy Video Shot and Directed By Director ...
2020-04-28,Chloe Ting,2066678724,4330000,28407,Get SNATCHED during Quarantine | Before After Chloe Ting Challenge Results 🔥,5561270,202201,1293,8239,Here are some before after transformation journeys of #chloetingchallenge community people doing the workouts and how their going. I hope everyone is ...
2020-04-28,Trinity and Beyond,80346079,378000,100,Hello Neighbor Steals Our Quarantine Games!!! We Challenge Him!,4031644,41971,3800,,Hello Neighbor in Real Life Steals Our Play at Home Quarantine Games!!! Subscribe to Madison and Beyond: http://tinyurl.com/madisonsub Subscribe to Trinity ...
2020-03-25,SNOWTHAPRODUCT,79543896,966000,295,Snow Tha Product - NoWhere To Go (QUARANTINE LOVE) (Official Music Video),2731237,82417,1639,10731,"Since everyone is quarantined in the house because of corona, figured i would drink actual corona, and some 1942 and make a lil challenge for myself.. made ..."
2020-04-16,Renz Lesaca,2423976543,4530000,17673,30 Days HOME QUARANTINE push-ups challenge epic transformation,2722330,34652,1684,1391,"Hi there, im Renz lesaca Because of the corona virus outbreak some places in the philippines are under in Enhance Community Quarantine (ECQ) specialy ..."
2020-04-04,The Bee Family,12635764,365000,26,FORTNITE DANCE CHALLENGE IN REAL LIFE!! - Quarantine Edition,2435916,52115,5280,3196,Bringing back the Fortnite Dance Challenge to help you move and have fun at home! Join The Family! ▻ http://bit.ly/ehbeefamily We Have A Video Game!
2020-03-21,Walker Bryant,172604620,1200000,94,LAST TO Leave The Self Quarantine WINS w/ My CRUSH **Epic CHALLENGE** ❤️😷| Walker Bryant,2273513,51593,1558,,"Hey guys its Walker Bryant, also known as Piper Rockelle's crush. Sit back and enjoy watching last to leave the self quarantine wins, with my crush epic ..."
2020-04-11,Viralbollywood,65880867,836000,58,Jannat Zubair and Ayaan Zubair FUNNIEST and CUTEST Video during Home Quarantine,2241838,27974,1896,407,WATCH Jannat Zubair and Ayaan Zubair FUNNIEST and CUTEST Video during Home Quarantine Company: ViralBollywood Entertainment Private Limited ...
2020-03-25,W2SPlays,59366405,598000,101,194 RATED FUT DRAFT QUARANTINE CHALLENGE - FIFA 20,2133533,62198,2386,2454,W2S 194 RATED FUT DRAFT CHALLENGE My Instagram: http://instagram.com/wroetoshaw My Twitter: http://twitter.com/wroetoshaw SIDEMEN Clothing: ...
2020-03-30,Good Mythical Morning,8637552,102000,129,Nasty Condiment War Challenge (Quarantine Episode),1845078,69947,588,3966,"In this first ever remote episode of Good Mythical Morning, we're playing War and the loser has to eat nasty condiments found in their fridge! GMM #1720 Submit ..."
2020-03-23,Michael and Ali Hoffman,126320468,1280000,260,Quarantine Challenge 2K20,1832977,31689,448,0,"When the times seem a little dark it's just a call to be more LIGHT! Let your joy fly, crank the tunes and dance in the kitchen! Song: Hold my hand Artist: Jess ..."
2020-04-14,Papa Jake,220584973,1610000,1004,24 Hour Quarantine Box Fort Shelter Challenge!,1812172,89772,1734,8512,24 Hour Quarantine Box Fort Shelter! Today papa jake and logan two brothers build a cardboard quarantiner box fort to survive in for 24 hours. this box fort ...
2020-03-29,Kerimcan Durmaz,6808605894,16700000,2565,YOGA CHALLENGE! | QUARANTINE DAYS | #DAY15,1584391,79747,3266,6423,"Hey bitch! Karantina'nın 15. gününde Yoga Challenge videosu çektik. Hatta çektiğimizi zannettik, ortaya böyle birşey çıktı. İyi seyirler:) IF YOU LIKE THIS VIDEO, ..."
2020-04-23,Norris Nuts Gaming,154718751,689000,206,WHICH NORRIS NUT BUILDS THE BEST QUARANTINE HOUSE? Roblox Challenge Gaming w/ The Norris Nuts,1497259,33169,781,10868,We competed to build each other a quarantine house in Roblox - see who won! Watch next LAST TO LEAVE BED https://youtu.be/HTI8_iMbljI LAST TO LEAVE ...
2020-04-18,HobbyFamilyTV,16933253918,24400000,5362,Stay Home With Us CHALLENGE in Minecraft Quarantine! HobbyPig vs HobbyDad,1455392,3012,160,330,"stayhome #challenge #stayhomewithus #minecraft Can we survive the QUARANTINE? Find out Minecraft style. Parents, ▻ Buy shirts and gifts here ..."
2020-04-19,Papa Jake,448288255,1760000,229,Fallout Box Fort THE MOVIE! 24 Hour Quarantine Shelter Challenge,1377725,40515,871,2741,Fallout Box Fort THE MOVIE! 24 Hour Quarantine Shelter Challenge 24 Hour Quarantine Box Fort NOOB Vs PRO Shelter Challenge! 24 Hour Quarantine Box ...
2020-05-02,Piper Rockelle,2531761419,9150000,835,Different Types of GIRLFRIENDS during Quarantine **Relatable Couples** 😷❤️| Piper Rockelle,1213662,61315,1626,,Shalom bbys it's Piper Rockelle! Hope your day is great but better watching different types of girlfriends during quarantine relatable couples. Today my crush ...
2020-04-19,Doxie Din - not just a dachshund,21445477,261000,56,Quarantine ART Challenge! Cute &amp; funny dachshund dog video!,1138626,7410,1133,577,"There are a lot of different ways to spend quarantine... Like my parents - to sleep until late and then be like couch potatoes all day; or like me to get up early, work ..."
2020-04-29,Lev Cameron,1443986305,15900000,296,WE TURNED OUR BACKYARD INTO A REAL WATERPARK FOR 24 HOURS **Quarantine Vlog 3** 🌊👙 | Lev Cameron,1115599,53053,1521,,Hey guys it's Lev Cameron Piper Rockelle's Crush. Sit back and enjoy watching we turned our backyard into a water park for a 24 hour challenge. In this 24 hour ...
2020-04-17,Lev Cameron,1367865831,3260000,1435,INSTAGRAM Followers Control My Quarantine DATE With My CRUSH **Kissing Challenge**💋|Lev Cameron,1105769,46160,1423,4983,Hey guys it's Lev Cameron Piper Rockelle's Crush. Sit back and enjoy watching instagram followers control my quarantine date kiss challenge. Thats right guys ...
2020-04-17,Madison and Beyond,795363853,6220000,823,Disney Descendants III 3 Marker Challenge!!! Fun Quarantine Ideas for Kids!,1057347,16901,1082,,Disney Descendants 3 Three Marker Coloring Challenge! Subscribe: https://tinyurl.com/madisonsub Watch our Newest Videos: ...
2020-04-16,Papa Jake,81465974,987000,175,24 Hour Quarantine Box Fort NOOB Vs PRO Shelter Challenge!,957231,44603,922,4496,24 Hour Quarantine Box Fort NOOB Vs PRO Shelter Challenge! 24 Hour Quarantine Box Fort Shelter! Today papa jake and logan two brothers build a ...
2020-04-09,Ashi Khanna,110091761,1100000,89,QUARANTINE PHOTOSHOOT CHALLENGE! (Colour themes) | Ashi Khanna,913571,62765,773,6153,"Hey guys! So as you all know we all are stuck at our homes, and there's no way we can create content together... or maybe WE CAN So i called up Aashna, ..."
2020-03-28,SmellyBellyTV,242264878,2460000,149,LAST TO LEAVE QUARANTINE CHALLENGE IN OUR ROOMS!!,900057,15162,426,,"We decided to have some fun today and we are all quarantined in our rooms, and the last to leave wins!! The last person to leave must be a servant for 24 hrs!"
2020-03-23,Holly Dolke,110116238,2280000,182,Day 1: BURN LOWER BELLY FAT (Home Workout Challenge),821866,32398,181,2441,DO THE FREE QUIZ TO SEE THE BEST PROGRAM FOR YOU HERE: https://bit.ly/3lBZHKC ♡ GET YOUR 30 DAY MEAL PLAN HERE: ...
2020-05-02,Emily and Evelyn,221792933,2440000,287,LAST TO LEAVE THE QUARANTINE WINS MYSTERY PRICE!!! | Emily and Evelyn,816722,21365,1192,,LAST TO LEAVE THE QUARANTINE WINS MYSTERY PRICE!!! | Emily and Evelyn We have to eliminate each other to win what's in the mystery box! ♡ Please ...
